microsample	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	genome_count_filtering30
M300011	Caecum	Positive	MSEB0001	A001aI121B	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v10	12748102	12204644	275400	2459901	116837	76541	34650	2257	3389	1912215300	1761026986	83990150	2797902	2261825	413640	28617	93820	0.422571	0.415375	0.331419	12204644	3168536	3167752	8531456	522	204	3673188	3168014	3167548	3167426	962503	2204923	962503	328489	retained
M300012	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	22	NA	BEST_v10	12384654	11426862	417856	3218762	135857	96013	32313	2922	4609	1857698100	1631629461	112484275	4073471	3515277	378081	42393	137720	0.439668	0.42475	0.632707	11426862	4346452	4345236	7020198	1062	147	4406664	4345390	4345089	4344992	1737336	2607656	1737336	0	excluded
M300013	Caecum	Positive	MSEB0001	A001aI121B	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v10	10945474	10513528	183332	2574735	90174	56167	29068	2059	2880	1641821100	1504386404	87677430	2025246	1580393	351505	26596	66752	0.430028	0.422689	0.258217	10513528	2452682	2451832	7874738	643	195	2638790	2452039	2451637	2451520	824299	1627221	824299	279735	retained
M300014	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v10	12404296	12062060	128550	2219233	79745	45046	29167	2861	2671	1860644400	1751701056	71778789	1542257	1113895	349383	35175	43804	0.448683	0.44348	0.139488	12062060	2918740	2917678	9099040	810	723	2963020	2917930	2916955	2916808	1290665	1626143	1290665	745745	retained
M300015	Caecum	Positive	MSEB0001	A001aI121B	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v10	9165420	8895334	98312	2744145	36577	19398	12066	2831	2282	1374813000	1257566242	89086428	647857	436592	139590	35964	35711	0.493792	0.490407	0.105416	8895334	4714668	4714186	4146654	361	109	4748680	4714307	4714077	4714026	2032305	2681721	2032305	1276941	retained
M300016	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v10	23770006	207008	71032	22975679	24544	20692	2442	69	1341	3565500900	28414927	1643882143	335111	285974	24449	958	23730	0.73905	0.450359	0.933078	207008	12774	12700	193364	62	508	13644	12712	12192	12152	2750	9402	2750	0	excluded
M300017	Caecum	Positive	MSEB0001	A001aI121B	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v10	12805574	11131044	1077860	2278128	254278	202009	35281	6140	10848	1920836100	1611960180	80154205	9226944	8210273	456083	106149	454439	0.438383	0.423151	0.151739	11131044	4096270	4095122	6850639	835	652	4280405	4095435	4094470	4093904	1476562	2617342	1476562	854017	retained
M300018	Caecum	Positive	MSEB0001	A001aI120C	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v10	12231988	11389836	449260	2376216	140637	97476	34654	2747	5760	1834798200	1645332365	80076972	3883441	3209511	428713	40489	204728	0.423281	0.411397	0.377797	11389836	2631818	2630898	8639901	656	301	2749935	2631162	2630597	2630364	940362	1690002	940362	146158	retained
M300019	Caecum	Positive	MSEB0001	A001aI120C	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	20	NA	BEST_v10	13595098	13155870	221276	2788777	118640	75852	38021	1927	2840	2039264700	1897786728	87096508	2669664	2116472	459601	23110	70481	0.420319	0.413809	0.598324	13155870	2619574	2618354	10397547	1020	180	2758323	2618554	2618174	2618068	963686	1654382	963686	0	excluded
M300020	Caecum	Positive	MSEB0001	A001aI120C	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v10	10523242	9689330	457368	2617722	123594	89792	25419	2891	5492	1578486300	1378466293	92649596	3746617	3201899	306299	45478	192941	0.439301	0.426463	0.3247	9689330	4026720	4026214	5305806	347	279	4383524	4026373	4025935	4025704	1308586	2717118	1308586	533596	retained
M300021	Caecum	Positive	MSEB0001	A001aI120C	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v10	18537400	17982498	188574	4163454	135502	76277	52034	3418	3773	2780610000	2580917383	139901004	2420130	1683549	625690	42830	68061	0.426927	0.420353	0.237561	17982498	1909416	1907744	15744349	1242	328	2238149	1908174	1907416	1907240	596369	1310871	596369	190655	retained
M300022	Caecum	Positive	MSEB0001	A001aI120C	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v10	14548526	14234174	129476	2858270	72664	38809	27625	3378	2852	2182278900	2058571055	89136494	1188485	776849	326450	40829	44357	0.466696	0.463202	0.116928	14234174	5931480	5930570	8257417	677	217	5976757	5930803	5930353	5930240	2582462	3347778	2582462	1756426	retained
M300023	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	NA	BEST_v10	23566226	87756	101508	22990626	25620	20106	2938	132	2444	3534933900	7330306	1649261404	335289	260924	28697	1539	44129	0.737962	0.559672	0.901449	87756	70970	70960	16751	8	37	71005	70962	70923	70920	33005	37915	33005	0	excluded
M300024	Caecum	Positive	MSEB0001	A001aI121A	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	NA	BEST_v10	10872986	9893482	84920	3194730	40703	20630	14749	2940	2384	1630947900	1409913482	136988462	596275	371122	153946	37808	33399	0.486214	0.46607	0.140046	9893482	8375954	8375770	1509832	149	482	8383650	8375805	8375288	8375236	3491864	4883372	3491864	2560977	retained
M300025	Caecum	Positive	MSEB0001	A001aI121A	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	NA	BEST_v24	12002124	11215982	219762	2519258	95815	58896	30591	2546	3782	1800318600	1618202311	100605064	2087480	1579265	370707	34123	103385	0.436763	0.423692	0.142642	11215982	2172664	2171638	8975408	750	221	2240574	2171914	2171417	2171280	806784	1364496	806784	409376	retained
M300026	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v24	18690640	13532208	437854	6455844	151359	106623	35197	3576	5963	2803596000	1963264621	371437047	3964390	3274735	427987	54993	206675	0.509525	0.430633	0.484484	13532208	4240020	4238080	9230114	1641	822	4302094	4238379	4237258	4237026	1783176	2453850	1783176	955816	retained
M300027	Caecum	Positive	MSEB0001	A001aI121A	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v24	15152610	13170446	1212344	2712550	221341	163026	32227	9517	16571	2272891500	1906581172	97275271	7128101	5863475	405742	170180	688704	0.467537	0.450321	0.145264	13170446	6918190	6917246	6091121	631	972	7079325	6917559	6916274	6915376	2664878	4250498	2664878	1768581	retained
M300028	Caecum	Positive	MSEB0001	A001aI121A	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v24	16193482	14034060	1130426	3632713	232372	168862	38620	8927	15963	2429022300	2012218063	143458560	7494888	6206997	490666	164706	632519	0.464094	0.444367	0.147195	14034060	5618716	5617724	8234231	680	731	5799829	5618036	5616993	5616366	2084798	3531568	2084798	1269860	retained
M300029	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	NA	BEST_v24	201214	984	2894	185570	660	491	109	1	59	30182100	97543	13253013	8781	6653	1026	10	1092	0.740388	0.497709	0.758228	984	808	808	176	0	2	808	808	806	806	391	415	391	0	excluded
M300030	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v24	19283752	7951200	128848	11716017	55556	35017	16737	1506	2296	2892562800	1170261793	806360821	897903	648386	195760	16479	37278	0.622831	0.457655	0.689985	7951200	2187836	2185668	5732869	1913	18945	2218331	2185923	2166723	2164322	901909	1262413	901909	169398	retained
M300031	Caecum	Positive	MSEB0001	A001aI121A	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	NA	BEST_v24	12212658	11760392	91242	3588687	30125	14765	9222	3444	2694	1831898700	1660500303	129866305	499895	324273	100185	40465	34972	0.52348	0.521192	0.115457	11760392	8887544	8887156	2846833	294	150	8913559	8887250	8887006	8886964	4038245	4848719	4038245	3001424	retained
M300032	Caecum	Positive	MSEB0001	A001aI121A	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v24	15995084	13346550	122986	5412699	39369	22505	12042	2309	2513	2399262600	1901846306	273953647	611019	428802	118752	27615	35850	0.525473	0.489548	0.259191	13346550	12911664	12911360	433579	280	1895	12912971	12911384	12909465	12909254	5731656	7177598	5731656	4465415	retained
M300033	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	16	NA	BEST_v24	24499072	6237128	353108	17556123	120437	92260	20151	1415	6611	3674860800	896033607	1209001058	2208748	1784328	236853	19570	167997	0.657762	0.42608	0.7725	6237128	1389370	1385044	4819758	4155	717	1417370	1385215	1384327	1384198	534406	849792	534406	62034	retained
M300034	Caecum	Positive	MSEB0001	A001aI121B	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	NA	BEST_v24	14311210	13467188	311322	3709371	92953	58302	26355	3396	4900	2146681500	1914543906	139689225	2127760	1619856	308237	50222	149445	0.456811	0.447171	0.119732	13467188	7420438	7419784	5985632	448	267	7481556	7419990	7419517	7419322	2895838	4523484	2895838	1947008	retained
M300035	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	NA	BEST_v24	20637956	4420616	555640	15350526	177360	150744	16207	3624	6785	3095693400	625697777	1051000635	4368950	3876758	173574	71813	246805	0.678544	0.471956	0.730955	4420616	3312836	3310958	1095486	1788	1498	3325130	3311048	3309460	3309060	1406271	1902789	1406271	278243	retained
M300036	Caecum	Positive	MSEB0001	A001aI121B	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v24	16168872	14024362	1146626	3146074	264365	202234	40063	7348	14720	2425330800	2027720596	121954627	9257756	7986442	509588	125582	636144	0.455163	0.435546	0.174628	14024362	4369694	4368438	9497618	850	715	4526744	4368844	4367723	4367106	1715820	2651286	1715820	1002059	retained
M300037	Caecum	Positive	MSEB0001	A001aI121B	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v24	18454292	15936262	1405948	4588518	248590	187255	28696	12662	19977	2768143800	2263257056	175749147	8667422	7306974	351325	223116	786007	0.493462	0.478881	0.177839	15936262	12960780	12960132	2825945	396	1466	13110317	12960384	12958666	12957262	4709193	8248069	4709193	3396515	retained
M300038	Caecum	Positive	MSEB0001	A001aI121B	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v24	10255826	10021784	86996	2202304	35979	18053	12752	2958	2216	1538373900	1441810493	71800973	570306	356679	147648	36620	29359	0.502745	0.50057	0.0989664	10021784	5802418	5801956	4175450	336	150	5846334	5802082	5801806	5801736	2601106	3200630	2601106	1838550	retained
M300039	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v24	21576158	20497172	190310	3324051	114114	59515	45345	4746	4508	3236423700	3004020620	131136063	1711154	1049080	540954	55063	66057	0.460845	0.448995	0.183209	20497172	4152740	4150718	16252535	1561	3267	4244637	4151179	4147451	4146944	1868137	2278807	1868137	1221144	retained
M300040	Caecum	Positive	MSEB0001	A001aI121B	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v24	10292538	10059088	86768	1609602	60335	30257	24062	3054	2962	1543880700	1465604970	53144763	874327	509184	289578	35960	39605	0.442813	0.438786	0.108675	10059088	289990	288764	9698980	895	299	360108	289095	288465	288316	57558	230758	57558	0	excluded
M300041	Caecum	Positive	MSEB0001	A001aI121C	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v24	13876428	12816530	380558	3313879	125732	85669	31032	3657	5374	2081464200	1834459654	131299627	3642820	3036755	373738	52762	179565	0.447898	0.436088	0.121193	12816530	4930992	4929924	7750818	797	322	5065712	4930195	4929602	4929364	1862113	3067251	1862113	1129079	retained
M300042	Caecum	Positive	MSEB0001	A001aI121C	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	NA	BEST_v24	12021994	11359730	290228	2369736	96967	63546	26335	2992	4094	1803299100	1637385274	88943224	2471294	1975334	317049	42772	136139	0.447595	0.439394	0.111935	11359730	4439390	4438694	6854074	494	205	4505656	4438896	4438489	4438326	1740974	2697352	1740974	1064379	retained
M300043	Caecum	Positive	MSEB0001	A001aI121C	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v24	12910752	11100712	1068404	2763810	184921	135891	23753	9766	15511	1936612800	1591228952	105406064	5970581	4902690	298083	177470	592338	0.481932	0.464807	0.135065	11100712	7658554	7657838	3295255	454	989	7805457	7658100	7656849	7655934	2865525	4790409	2865525	2003337	retained
M300044	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v24	15527238	11841336	1349686	4595560	280720	220519	34085	9457	16659	2329085700	1691085610	217304884	10110307	8771939	436676	177512	724180	0.493692	0.448543	0.42136	11841336	4586672	4585150	7152162	1195	1309	4689174	4585477	4583841	4583094	1902496	2680598	1902496	776871	retained
M300045	Caecum	Positive	MSEB0001	A001aI121C	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v24	14600750	12461698	1266652	3171467	245502	186546	30878	10945	17133	2190112500	1782363755	121310547	8600907	7311659	396164	203047	690037	0.478731	0.462573	0.126216	12461698	6957348	6956432	5234363	591	914	7227335	6956757	6955518	6954674	2438222	4516452	2438222	1632152	retained
M300046	Caecum	Positive	MSEB0001	A001aI121C	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	NA	BEST_v24	12097248	11768732	93624	2660982	48377	24786	17138	3472	2981	1814587200	1689847976	92304204	812134	528749	203816	41801	37768	0.487799	0.484375	0.111658	11768732	4566360	4565430	7144096	672	236	4624636	4565688	4565194	4565100	2057605	2507495	2057605	1336182	retained
M300047	Caecum	Positive	MSEB0001	A001aI121C	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	NA	BEST_v24	10766638	10404834	120956	2669574	44611	22818	14506	3848	3439	1614995700	1486461568	90962180	758768	480389	173110	48857	56412	0.491424	0.487365	0.108113	10404834	3402036	3400940	6937282	847	294	3467552	3401189	3400646	3400504	1499573	1900931	1499573	904874	retained
M300048	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v24	23460530	10601474	161076	13805882	105246	67257	31979	2153	3857	3519079500	1535696580	912152304	1605941	1122001	399839	24111	59990	0.59587	0.422957	0.627443	10601474	4735486	183220	5833017	4540382	5195	4768457	195104	178025	177456	11205	166251	11205	0	excluded
M300049	Caecum	Positive	MSEB0001	A001aI121C	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	9	NA	BEST_v32	13921958	12727482	268556	4280396	91003	57016	26158	3472	4357	2088293700	1793060954	179390214	2134161	1656744	307025	49863	120529	0.46266	0.448175	0.136588	12727482	6746236	6745204	5897751	854	210	6829731	6745382	6744994	6744834	2716174	4028660	2716174	1781134	retained
M300050	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v32	28499640	8026408	320468	20111178	124346	92814	23818	1710	6004	4274946000	1153306191	1379852906	2207507	1771554	277526	22428	135999	0.651502	0.430671	0.732393	8026408	2194826	2192866	5800411	1776	1372	2225997	2193050	2191494	2191368	858259	1333109	858259	281124	retained
M300051	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v32	36204794	1464468	385410	32148912	128370	105608	14378	745	7639	5430719100	202295863	2283498237	2153946	1832584	144724	14568	162070	0.728716	0.462381	0.881393	1464468	702916	702304	756249	587	1388	708219	702329	700916	700846	304210	396636	304210	0	excluded
M300052	Caecum	Positive	MSEB0001	A001aI121C	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v32	10513540	9015288	540878	3249205	110447	78224	19052	5029	8142	1577031000	1269521093	141477404	3337990	2720442	232401	90556	294591	0.485214	0.46267200000000003	0.135771	9015288	5099672	5099174	3832700	344	414	5182588	5099328	5098760	5098414	2048513	3049901	2048513	1270374	retained
M300053	Caecum	Positive	MSEB0001	A001aI121C	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v32	17450986	15599380	1066546	3553377	288769	223025	45836	7091	12817	2617647900	2241957733	134174539	10700528	9446170	581850	123382	549126	0.447488	0.434793	0.157285	15599380	3433812	3432256	11919292	1131	538	3680088	3432681	3431718	3431322	1242544	2188778	1242544	662717	retained
M300054	Caecum	NegativeCollection	MSEB0001	A001aI121Z	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v32	18523602	16933690	165464	3425772	81010	45203	29228	3430	3149	2778540300	2479254862	156699598	1376988	943500	340779	40141	52568	0.492384	0.472122	0.260716	16933690	8724322	8722376	8162315	1683	11109	8771375	8722639	8711267	8710164	3941586	4768578	3941586	2938230	retained
M300055	Caecum	Positive	MSEB0001	A001aI122A	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	NA	BEST_v32	16779448	16203494	201718	3429871	67099	34427	21594	5725	5353	2516917200	2341118973	114699752	1135100	716771	253325	74199	90805	0.489614	0.484617	0.127127	16203494	5421578	5419968	10699460	1211	484	5504034	5420367	5419484	5419294	2472159	2947135	2472159	1710124	retained
M300056	Caecum	NegativeCollection	MSEB0001	A001aI122Z	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v32	34814884	215236	260012	32469493	89244	74718	10402	103	4021	5222232600	29628619	2319796145	1179441	998258	99870	1950	79363	0.747361	0.517943	0.818123	215236	119134	118374	95699	741	7161	119537	118393	111213	110634	42124	68510	42124	0	excluded
M300057	Caecum	Positive	MSEB0001	A001aI122A	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	NA	BEST_v32	10021600	9458236	150292	2122878	70883	42128	24029	2099	2627	1503240000	1364086000	81862195	1448397	1070541	290575	27234	60047	0.439319	0.428035	0.10673	9458236	2313828	2312902	7095311	706	175	2362925	2313122	2312727	2312626	887776	1424850	887776	474696	retained
M300058	Caecum	Positive	MSEB0001	A001aI122A	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	12	NA	BEST_v32	16481720	13923130	233952	4200120	78764	47687	23930	3290	3857	2472258000	2026212121	213780499	1470309	1059851	267636	48665	94157	0.492952	0.452543	0.262606	13923130	9858080	9857562	4039583	408	348	9883547	9857672	9857214	9857064	3858041	5999023	3858041	2758994	retained
M300059	Caecum	Positive	MSEB0001	A001aI122A	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	11	NA	BEST_v32	12924216	11628504	740436	1931624	144764	100057	27188	6980	10539	1938632400	1697666807	69858187	4174455	3298231	335134	125770	415320	0.46308	0.448373	0.123452	11628504	5891768	5891158	5655729	411	536	5972775	5891357	5890622	5890132	2338864	3551268	2338864	1609364	retained
M300060	Caecum	NegativeCollection	MSEB0001	A001aI122Z	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	17	NA	BEST_v32	36545236	7404090	681068	27630446	173826	143707	16292	4804	9023	5481785400	1072642253	1923218835	4402932	3842101	177170	91310	292351	0.682494	0.468952	0.847186	7404090	6134430	6133238	1259413	1068	2664	6144677	6133362	6130574	6130026	2456119	3673907	2456119	497290	retained
M300061	Caecum	NegativeCollection	MSEB0001	A001aI122Z	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	20	NA	BEST_v32	15073916	11310542	988426	4214297	150213	107824	17762	10385	14242	2261087400	1643013926	220794527	4566127	3641915	209792	185061	529359	0.530394	0.479376	0.631307	11310542	9905770	9901984	1392500	3599	4318	9918042	9902171	9897666	9896480	4139124	5757356	4139124	478545	retained
M300062	Caecum	Positive	MSEB0001	A001aI122B	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v32	11079506	10842676	90672	2012524	33574	16801	11578	2907	2288	1661925900	1570952738	65819456	529157	333734	131252	35019	29152	0.504889	0.503246	0.114963	10842676	7132426	7131928	3680179	357	166	7162497	7132069	7131762	7131696	3242358	3889338	3242358	2375708	retained
M300063	Caecum	NegativeCollection	MSEB0001	A001aI122Z	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	14	NA	BEST_v32	24738246	17131490	224376	9637534	80357	49258	23062	3940	4097	3710736900	2493030115	581023134	1377166	996252	260268	50337	70309	0.562775	0.487443	0.465983	17131490	11372544	11371304	5727739	1032	10362	11403751	11371512	11360942	11359684	5069439	6290245	5069439	3678220	retained
